tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,condition_severity
36.1,28.4,32.1,75.5,1.1,100,25.0,11.3,993.2,8,1,32,2423.55,7.7,164.9424519,2
37.5,21.1,28.6,41.7,0.0,0,0.0,17.6,1005.1,4,0,16,1192.62,16.4,151.7310608,0
40.1,21.9,31.7,30.7,0.0,0,0.0,27.7,1001.7,4,1,16,973.19,18.2,118.2111334,1
36.4,21.0,29.9,27.4,0.0,0,0.0,22.3,1002.5,4,2,16,819.26,15.4,113.3203542,0
37.5,21.7,30.6,23.7,0.0,0,0.0,12.4,1003.4,4,3,16,725.22,15.8,101.4070384,0
37.3,21.4,30.3,27.2,0.0,0,0.0,14.8,1004.0,4,4,16,824.16,15.9,111.9869377,0
37.7,22.2,30.6,27.8,0.0,0,0.0,16.0,1003.9,4,5,16,850.68,15.5,113.056248,1
37.0,23.9,28.4,39.5,0.0,0,0.0,27.7,1007.2,4,6,16,1121.8,13.1,147.7320704,1
31.7,21.1,26.9,49.5,0.0,0,0.0,22.3,1010.4,4,0,17,1331.55,10.6,172.9920285,1
34.0,23.3,29.1,42.8,0.0,0,0.0,14.0,1010.4,4,1,17,1245.48,10.7,152.1546831,1
36.0,23.8,30.8,38.8,0.0,0,0.0,11.2,1010.2,4,2,17,1195.04,12.2,138.6173517,0
37.7,24.8,31.5,39.1,0.0,0,0.0,20.5,1009.0,4,3,17,1231.65,12.9,137.0816904,1
34.3,25.4,30.9,41.5,0.0,0,0.0,27.5,1009.0,4,4,17,1282.35,8.9,143.5319391,1
37.7,24.2,31.8,32.7,0.0,0,0.0,24.1,1008.4,4,5,17,1039.86,13.5,122.70073,1
37.0,23.4,31.2,29.6,0.0,0,0.0,25.9,1006.5,4,6,17,923.52,13.6,116.5622355,1
39.1,26.5,32.8,24.3,0.0,0,0.0,17.3,1005.8,4,0,18,797.04,12.6,99.82332374,1
40.1,24.9,32.9,31.3,0.0,0,0.0,18.4,1005.9,4,1,18,1029.77,15.2,116.9750132,1
